axis,group,label,n,n_pos,auc,sensitivity,fpr,ece
sex,female,diabetic_retinopathy,7840,301,0.9175855870624469,0.7873754152823921,0.06353627802095768,0.1300183725960067
sex,male,diabetic_retinopathy,4632,542,0.9600889578577936,0.8468634686346863,0.05574572127139364,0.10071762971375901
quality,Adequate,diabetic_retinopathy,11022,760,0.9468002800315933,0.8381578947368421,0.061878776067043464,0.12119618560151309
quality,Inadequate,diabetic_retinopathy,1450,83,0.91852707097593,0.7108433734939759,0.05267008046817849,0.10347844433582543
age,40-59,diabetic_retinopathy,2475,98,0.9979394366076259,1.0,0.030710980227177113,0.08048009012454337
age,60+,diabetic_retinopathy,4551,368,0.9150105499485495,0.7228260869565217,0.06382978723404255,0.11473988046399183
age,<40,diabetic_retinopathy,1415,85,0.9093852277753207,0.8588235294117647,0.12631578947368421,0.18625169128871938
sex,female,macular_edema,7840,129,0.9513430426080128,0.6201550387596899,0.006224873557255868,0.03528628681370559
sex,male,macular_edema,4632,188,0.966864239615451,0.7127659574468085,0.011926192619261927,0.06461120434326394
quality,Adequate,macular_edema,11022,299,0.9737045085159053,0.68561872909699,0.008672946003916814,0.04791447881640397
quality,Inadequate,macular_edema,1450,18,0.765828677839851,0.5,0.00558659217877095,0.03449713602824227
age,40-59,macular_edema,2475,65,0.997446536865624,0.7538461538461538,0.004979253112033195,0.02307852101693452
age,60+,macular_edema,4551,166,0.9308430987347338,0.6024096385542169,0.004561003420752566,0.041369487176069426
age,<40,macular_edema,1415,16,0.9792709077912795,0.5,0.028591851322373123,0.12114857053470827
