axis,label,auc_gap,sens_gap,fpr_gap,ece_gap,min_pos
sex,diabetic_retinopathy,0.04250337079534672,0.059488053352294235,0.00779055674956404,0.029300756031828024,301
sex,macular_edema,0.015521197007438148,0.09261091868711857,0.005701319062006059,0.029324920970840995,129
sex,scar,0.003109667337359512,0.032770097286226374,0.0023659276464003953,0.0035339477681042737,62
sex,nevus,0.006579902218983191,0.17216642754662836,0.027573359813719528,0.009170250909061019,41
sex,amd,0.005532902342228696,0.04483430799220267,0.008320072487181758,0.007097779201021351,81
sex,vascular_occlusion,0.010789371103208767,0.1652806652806653,0.0,0.010861110286399142,26
sex,hypertensive_retinopathy,0.0526421267755639,0.025375939849624052,0.022871470685669526,0.0164501276758153,56
sex,drusens,0.008906640027299018,0.017587659659838217,0.05902184138708394,0.009009459184290691,678
sex,hemorrhage,0.13582615015055954,0.0888888888888889,0.01092852130097588,0.0024481422885377357,26
sex,myopic_fundus,0.0005197258730343934,0.142326548804041,0.0031116297160637884,0.005048106018979877,53
sex,increased_cup_disc,0.028881715314788114,0.04628803863137054,0.025668093412841958,0.01577660819390482,1023
quality,diabetic_retinopathy,0.02827320905566333,0.12731452124286624,0.009208695598864974,0.017717742328329178,83
quality,macular_edema,0.2078758306760543,0.18561872909698995,0.003086353825145864,0.013417341044250762,18
quality,scar,0.004943736734098203,0.045454545454545414,0.0033121431742459823,0.0003707089588841639,12
quality,nevus,0.020202888677157804,0.2920792079207921,0.08646627570265383,0.014017862839973201,8
quality,amd,0.01150860706794743,0.015617751662285406,0.014795594165513931,0.0051005186236535716,29
quality,vascular_occlusion,0.1029146841350358,0.11764705882352941,0.0,0.002639029513461866,12
quality,hypertensive_retinopathy,0.1409991168625344,0.1565934065934066,0.04610250880951905,0.02398676564569366,14
quality,drusens,0.01341246222755721,0.04318063508589276,0.0992475146371174,0.05748281571562941,226
quality,hemorrhage,0.21788081540871507,0.5,0.041308488238661345,0.0015400454988067531,8
quality,myopic_fundus,0.009027667797116279,0.375,0.0009902810468581332,0.0031584837357741917,36
quality,increased_cup_disc,0.056605525975240045,0.07197588077307915,0.060943383978615706,0.03198250897071936,272
camera,diabetic_retinopathy,0.0471141240945282,0.1378541354456576,0.015292355198891466,0.006608150916050062,324
camera,macular_edema,0.04042813128743605,0.16014350945857792,0.0006867785430206622,0.007488813860648341,98
camera,scar,0.0110952343816203,0.05882352941176472,0.0027720991786847893,0.005678846625180211,52
camera,nevus,0.04026869653804721,0.02922077922077926,0.025022120884077792,0.01146832368154805,32
camera,amd,0.007951740865473567,0.07997244968240602,0.006113513912465864,0.007844220670507225,73
camera,vascular_occlusion,0.07999309811614674,0.2074468085106383,0.0,0.006626979047000707,16
camera,hypertensive_retinopathy,0.2698975661737222,0.44631765749778174,0.07314863144678946,0.04562457723616027,23
camera,drusens,0.019045338023223946,0.027813594667902453,0.02526982573471437,0.020119196269717282,705
camera,hemorrhage,0.04580782121248461,0.08695652173913049,0.1324386403142372,0.003421635473376603,25
camera,myopic_fundus,0.006916349045167802,0.13100961538461542,0.00012166610995469583,0.007908184002211063,52
camera,increased_cup_disc,0.021486216727471752,0.08957425030862742,0.09480943064461034,0.024952427062055707,514
age,diabetic_retinopathy,0.08855420883230514,0.27717391304347827,0.0956048092465071,0.10577159399219425,85
age,macular_edema,0.0666034381308902,0.25384615384615383,0.024030847901620557,0.09807003666471231,16
age,scar,0.02058846004380288,0.0888888888888889,0.0829853627625437,0.018624225688185753,16
age,nevus,0.1865440253586893,0.5,0.16115582466114947,0.037127612724055306,4
age,amd,,,0.03567049066589219,0.02607889445095797,0
age,vascular_occlusion,0.03202855064557186,0.05128205128205128,0.0,0.010269274950705832,0
age,hypertensive_retinopathy,0.09501083840799862,0.36756756756756753,0.17486315836923413,0.0583931459798639,16
age,drusens,0.06359068138665214,0.02473431174089069,0.18842683921197298,0.07447580724149369,104
age,hemorrhage,0.15543226315529912,0.0888888888888889,0.1787080908219743,0.0059824740214756335,0
age,myopic_fundus,0.027399716587216294,0.5190325138778747,0.003592276605298608,0.02074136730366025,16
age,increased_cup_disc,0.037172167124192246,0.009144104647209383,0.14201562213215627,0.05553258288770441,164
