axis,group,label,n,n_pos,auc,sensitivity,fpr,ece
sex,female,diabetic_retinopathy,3185,687,0.7882696258899404,0.438136826783115,0.0600480384307446,0.12020405214660021
sex,male,diabetic_retinopathy,1699,447,0.7764900543917204,0.45861297539149887,0.05910543130990415,0.12930286809223202
quality,Adequate,diabetic_retinopathy,4859,1132,0.782862333027729,0.4452296819787986,0.06010195867990341,0.12402127024125945
quality,Inadequate,diabetic_retinopathy,25,2,1.0,1.0,0.0,0.05759764008224011
age,40-59,diabetic_retinopathy,1836,499,0.7963616087822617,0.4589178356713427,0.04487658937920718,0.11527912857412709
age,60+,diabetic_retinopathy,2842,613,0.7823814364556779,0.4371941272430669,0.06056527590847914,0.1224471883826026
age,<40,diabetic_retinopathy,194,21,0.6947426369391687,0.42857142857142855,0.16184971098265896,0.22362849377479754
sex,female,macular_edema,3193,242,0.8728446163368069,0.34297520661157027,0.01253812267028126,0.058301808076860806
sex,male,macular_edema,1706,185,0.8515201592124668,0.32432432432432434,0.01051939513477975,0.07470946424015101
quality,Adequate,macular_edema,4872,426,0.8626607447956596,0.33568075117370894,0.011920827710301394,0.06392700443971805
quality,Inadequate,macular_edema,27,1,0.9615384615384616,0.0,0.0,0.039964235215275375
age,40-59,macular_edema,1841,178,0.8624220476058565,0.398876404494382,0.012026458208057728,0.07155686034125391
age,60+,macular_edema,2852,241,0.8743092978795426,0.29045643153526973,0.006127920337035618,0.049458644548783716
age,<40,macular_edema,194,8,0.6881720430107526,0.25,0.0913978494623656,0.2490358862680258
