axis,label,sens_gap_before,sens_gap_after,fpr_gap_before,fpr_gap_after
sex,diabetic_retinopathy,0.059488053352294235,0.052107979551556216,0.00779055674956404,0.017570507849808535
sex,macular_edema,0.09261091868711857,0.03142008906481941,0.005701319062006059,0.0014217184913926494
sex,amd,0.04483430799220267,0.3450292397660818,0.008320072487181758,0.055302076387917704
sex,drusens,0.017587659659838217,0.0007504662550247287,0.05902184138708394,0.021814203066551352
sex,increased_cup_disc,0.04628803863137054,0.008724488484347481,0.025668093412841958,0.08188197117713816
quality,diabetic_retinopathy,0.12731452124286624,0.2673272035510462,0.009208695598864974,0.06478051210444369
quality,macular_edema,0.18561872909698995,0.6300631735414344,0.003086353825145864,0.008672946003916814
quality,amd,0.015617751662285406,0.8699551569506726,0.014795594165513931,0.04998657902160644
quality,drusens,0.04318063508589276,0.04973971889640805,0.0992475146371174,0.18588320431713096
quality,increased_cup_disc,0.07197588077307915,0.009953130759913664,0.060943383978615706,0.11564349595412171
camera,diabetic_retinopathy,0.1378541354456576,0.09161136087918365,0.015292355198891466,0.061491978499211966
camera,macular_edema,0.16014350945857792,0.08708414872798431,0.0006867785430206622,0.0038529440294887956
camera,amd,0.07997244968240602,0.5027932960893855,0.006113513912465864,0.20215071222968486
camera,drusens,0.027813594667902453,0.07303465227327455,0.02526982573471437,0.17994952378363194
camera,increased_cup_disc,0.08957425030862742,0.018617270638976113,0.09480943064461034,0.0163800437941084
