axis,group,label,n,n_pos,auc,sensitivity,fpr,ece
sex,sex_1,diabetic_retinopathy,4632,542,0.9600889578577936,0.8468634686346863,0.05574572127139364,0.10071762094200976
sex,sex_1,macular_edema,4632,188,0.966864239615451,0.7127659574468085,0.011926192619261927,0.06461120792011134
sex,sex_1,scar,4632,62,0.9817745464812593,0.9354838709677419,0.11728665207877462,0.0182490069654389
sex,sex_1,nevus,4632,41,0.8712751884652368,0.8780487804878049,0.23241123938139838,0.05871234173763427
sex,sex_1,amd,4632,81,0.9753737477314712,0.7407407407407407,0.02944407822456603,0.03174679352948523
sex,sex_1,vascular_occlusion,4632,26,0.9690036407361635,0.19230769230769232,0.0,0.02166616334217972
sex,sex_1,hypertensive_retinopathy,4632,56,0.6512081668331667,0.5535714285714286,0.2856206293706294,0.11821927001904084
sex,sex_1,drusens,4632,678,0.8706779886094214,0.8451327433628318,0.25543753161355587,0.2169322602013335
sex,sex_1,hemorrhage,4632,45,0.8077465300486883,0.9111111111111111,0.4717680401133639,0.010466143668634055
sex,sex_1,myopic_fundus,4632,53,0.9887427015044069,0.6226415094339622,0.0,0.02683383488022507
sex,sex_1,increased_cup_disc,4632,1023,0.918371227356828,0.8709677419354839,0.18370739817123857,0.11308853314877433
sex,sex_2,diabetic_retinopathy,7840,301,0.9175855870624469,0.7873754152823921,0.06353627802095768,0.13001837697383778
sex,sex_2,macular_edema,7840,129,0.9513430426080128,0.6201550387596899,0.006224873557255868,0.03528628694927034
sex,sex_2,scar,7840,126,0.9848842138186188,0.9682539682539683,0.11965257972517501,0.021782954733543174
sex,sex_2,nevus,7840,68,0.8646952862462536,0.7058823529411765,0.20483787956767885,0.04954209082857325
sex,sex_2,amd,7840,171,0.9809066500736999,0.695906432748538,0.021124005737384273,0.024649014328463878
sex,sex_2,vascular_occlusion,7840,37,0.9582142696329548,0.02702702702702703,0.0,0.010805053055780578
sex,sex_2,hypertensive_retinopathy,7840,114,0.7038502936087306,0.5789473684210527,0.26274915868495985,0.10176914234322554
sex,sex_2,drusens,7840,1588,0.8795846286367204,0.8627204030226701,0.3144593730006398,0.22594171938562418
sex,sex_2,hemorrhage,7840,26,0.9435726801992479,1.0,0.460839518812388,0.01291428595717179
sex,sex_2,myopic_fundus,7840,127,0.9892624273774413,0.48031496062992124,0.0031116297160637884,0.021785728861245194
sex,sex_2,increased_cup_disc,7840,1483,0.8894895120420399,0.8246797033041133,0.20937549158408053,0.12886514134267915
quality,Adequate,diabetic_retinopathy,11022,760,0.9468002800315933,0.8381578947368421,0.061878776067043464,0.121196186961885
quality,Adequate,macular_edema,11022,299,0.9737045085159053,0.68561872909699,0.008672946003916814,0.04791447732393445
quality,Adequate,scar,11022,176,0.9832342883006723,0.9545454545454546,0.11838465793841048,0.020567864592504308
quality,Adequate,nevus,11022,101,0.8707576736979622,0.7920792079207921,0.2251625309037634,0.054878789368787734
quality,Adequate,amd,11022,223,0.9798407675183345,0.7085201793721974,0.02250208352625243,0.026692081285386096
quality,Adequate,vascular_occlusion,11022,51,0.983535917329287,0.11764705882352941,0.0,0.015112470246695464
quality,Adequate,hypertensive_retinopathy,11022,156,0.6772460084856551,0.5576923076923077,0.2658752070679183,0.10508987348039339
quality,Adequate,drusens,11022,2040,0.8755414969372296,0.861764705882353,0.3034958806501893,0.22927865822958526
quality,Adequate,hemorrhage,11022,63,0.8860500248400603,1.0,0.46007847431334975,0.012136467177388071
quality,Adequate,myopic_fundus,11022,144,0.9911901697615983,0.5972222222222222,0.0018385732671446957,0.02402775822201586
quality,Adequate,increased_cup_disc,11022,2234,0.9069563199430819,0.8513876454789615,0.1928766499772417,0.11928756192740242
quality,Inadequate,diabetic_retinopathy,1450,83,0.91852707097593,0.7108433734939759,0.05267008046817849,0.10347844463355582
quality,Inadequate,macular_edema,1450,18,0.765828677839851,0.5,0.00558659217877095,0.03449713627968369
quality,Inadequate,scar,1450,12,0.9881780250347705,1.0,0.12169680111265646,0.020197155633620144
quality,Inadequate,nevus,1450,8,0.8505547850208044,0.5,0.13869625520110956,0.04086092652881453
quality,Inadequate,amd,1450,29,0.9683321604503871,0.7241379310344828,0.03729767769176636,0.03179259990903967
quality,Inadequate,vascular_occlusion,1450,12,0.8806212331942512,0.0,0.0,0.01775149976015733
quality,Inadequate,hypertensive_retinopathy,1450,14,0.8182451253481895,0.7142857142857143,0.31197771587743733,0.12907663912608705
quality,Inadequate,drusens,1450,226,0.8889539591647868,0.8185840707964602,0.2042483660130719,0.17179584251395585
quality,Inadequate,hemorrhage,1450,8,0.6681692094313453,0.5,0.5013869625520111,0.013676512676194824
quality,Inadequate,myopic_fundus,1450,36,0.9821625019644821,0.2222222222222222,0.002828854314002829,0.02086927448624167
quality,Inadequate,increased_cup_disc,1450,272,0.8503507939678419,0.7794117647058824,0.2538200339558574,0.15127007089812178
camera,Canon CR,diabetic_retinopathy,8149,519,0.9259948939007113,0.7726396917148363,0.06605504587155964,0.1168458201919162
camera,Canon CR,macular_edema,8149,219,0.9493484657419082,0.6255707762557078,0.00807061790668348,0.04882008799224094
camera,Canon CR,scar,8149,136,0.9810161428854582,0.9411764705882353,0.11780856108823162,0.02243885461728783
camera,Canon CR,nevus,8149,77,0.8596672158366906,0.7792207792207793,0.20639246778989098,0.04897273747609984
camera,Canon CR,amd,8149,179,0.975909661229611,0.6871508379888268,0.026348808030112924,0.030055712188042837
camera,Canon CR,vascular_occlusion,8149,47,0.980503894494136,0.0425531914893617,0.0,0.017140185828594397
camera,Canon CR,hypertensive_retinopathy,8149,147,0.6684340819557015,0.5102040816326531,0.2456885778555361,0.09206435439134684
camera,Canon CR,drusens,8149,1561,0.8833898879293278,0.866111467008328,0.28263509411050397,0.21562204875096777
camera,Canon CR,hemorrhage,8149,46,0.8774876723060165,0.9130434782608695,0.4189806244600765,0.013188442066864986
camera,Canon CR,myopic_fundus,8149,128,0.987068125857125,0.484375,0.0019947637451689314,0.026435208625168957
camera,Canon CR,increased_cup_disc,8149,1992,0.8906591935388134,0.8619477911646586,0.23631638785122625,0.131654774904999
camera,NIKON NF5050,diabetic_retinopathy,4323,324,0.9731090179952395,0.9104938271604939,0.05076269067266817,0.12345397110796626
camera,NIKON NF5050,macular_edema,4323,98,0.9897765970293443,0.7857142857142857,0.008757396449704143,0.0413312741315926
camera,NIKON NF5050,scar,4323,52,0.9921113772670785,1.0,0.12058066026691641,0.01676000799210762
camera,NIKON NF5050,nevus,4323,32,0.8999359123747378,0.75,0.23141458867396877,0.06044106115764789
camera,NIKON NF5050,amd,4323,73,0.9838614020950845,0.7671232876712328,0.02023529411764706,0.02221149151753561
camera,NIKON NF5050,vascular_occlusion,4323,16,0.9005107963779893,0.25,0.0,0.01051320678159369
camera,NIKON NF5050,hypertensive_retinopathy,4323,23,0.9383316481294237,0.9565217391304348,0.31883720930232556,0.13768893162750712
camera,NIKON NF5050,drusens,4323,705,0.8643445499061039,0.8382978723404255,0.30790491984521834,0.23574124502068505
camera,NIKON NF5050,hemorrhage,4323,25,0.8316798510935319,1.0,0.5514192647743137,0.009766806593488383
